條文號碼,卦,條文
2172,履,演數循環定命詳 兌來變震定綱常 命中主有三個子 雖然同父不同娘
2173,同人,三九四十事遂心 家門喜慶遂相生 瑣碎蹤有無災害 春滿乾坤福到庭
2174,无妄,二千一百定子宮 三刻時逢主順通 一樹蟠桃生七顆 內有代破免刑沖
2175,姤,運交乙木遇巽宮 篩防口舌並災生 是非之事君須避 不利難免有虛驚
2176,訟,人生得子注前生 六爻加旅是恩星 運到乙木添喜氣 結得丹桂一子成
2177,遂,身命二宮白虎方 三朝五日病成傷 若還昆煞不解破 兒女因緣付凄涼
2178,否,大小耗散入命宮 定知財帛不能存 隨來隨去還空手 本來由命不由人
2181,乾,運臨丑位是吉星 去盡愁煩喜笑生 時來風送滕王閣 萬里無雲月正明
2182,履,命犯凶星勾絞纏 子息宮中不周全 雖然三子堂前立 數中定有破家男
2183,同人,流年六三與六四 步步康強吉慶至 福履憂遊春滿堂 動興措兮均如意
2184,无妄,時辰三刻極楨祥 兒女宮中各自強 森森八子堂前立 內有代破免刑傷
2185,姤,丑運交來是北方 駁雜瑣碎不安康 虛驚不利時堂有 晦氣艱難有幾場
2186,訟,大運丑位主添祥 氳氤瑞氣出華堂 桂蘭日有欣欣意 正報琴房產一郎
2187,遂,三歲四歲要提防 數逢喪車主不良 此關凶煞早解散 以後坦道上康庄
2188,否,命犯喝星有幾愁 錢財破耗結怨仇 交朋結友終須慎 酒肉場中可小休
2211,夬,一雙飛雁宿梅花 兄弟二人各立家 次序排來君是長 連枝同氣享榮華
2212,兌,二千二百數逢空 父命屬牛命已終 慈母屬鼠先剋去 堂前獨立度光陰
2213,革,大運流轉乙丑宮 災殃口舌事重重 謀為無益徒興歡 六畜人丁有不寧
2214,隨,交到乙運悶沈沈 欲問何事不稱心 門外飄揚喪皤帛 原來堂上逝父親
2215,大過,一雙燕子棲畫樑 姐妹二人各逞強 數裡推來分上下 定君次序在頭行
2216,困,紅綿牽成作鳳凰 前生注定命榮昌 蘭房得有同相會 配合佳人表姑娘
2217,咸,乙丑運臨未稱情 上五年間有憂驚 交到下五年順吉 喜支菱花開笑容
2218,萃,三刻生人福祿齊 青雲一步上天梯 花開泮水多顏色 海哺生珠世上稀
2221,夬,長空鴻雁息江濱 草色芊芊瑞氣新 昆促五人君居次 父母爻上刑害成
2222,兌,象逢大有轉凄涼 中有代破主刑傷 雙親庚相同屬丑 乾坤虛花壽不長
2223,革,海底撈月丁丑宮 財帛聚處總成空 凡無事處尋晦氣 猶如花發遇狂風
2224,隨,運交丑宮煩惱生 庭前椿樹不長榮 生身嚴父遊仙去 枕魄含哀涕淚零
2225,大過,二千二百五數成 推算君家姊姐宮 桃李五枝身在四 連枝同氣一娘生
2226,困,鴛鴦交頸綠水邊 青青荷蓋勝仙緣 妻宮必配金家女 琴瑟相偕到百年
2227,咸,運交丁丑有災殃 懶向妝台巾粉黃 上五丁宮殊不穩 下五丑位保安康
2228,萃,丑時生人帶文星 時不來兮娩不成 呻想月中扳桂子 無緣路入廣寒宮
2231,夬,手足宮中自高強 長江鴻陣接飛揚 兄弟七人身居二 春風虹影不成雙
2232,兌,命逢二數主不祥 乾坤二數有刑傷 丑庚嚴父應剋去 慈母屬虎壽不長
2233,革,己丑運臨是土鄉 求財不遂反主殃 殘花狂雨風前燭 落馬崖懸忽散靼
2234,隨,運交乙宮數不強 黃花妍秀遇嚴霜 此運慈母塵緣盡 節哀順變且從場
2235,大過,二千二百數逢奇 姐妹宮中辨高低 一樹春開花七朵 次第排來第五枝
2236,困,鴛鴦枕上兩心知 琴瑟調和燕樂時 妻配鄭氏佳人好 如濱相敬效齊眉
2237,咸,運交己丑有吉星 上五年中不稱情 交到下五丑運內 和順平安顯笑容
2238,萃,人生得意出奇男 正說君生年十三 入命紅鷥相扶照 榮遊泮水喜開顏
2241,夬,花開棠棣正逢春 兄弟林森有八人 代破內中曾不免 君身居二是麒麟
2242,兌,椿堂丑相已先妨 屬兔萱慈亦主傷 數定離宮刑剋重 高堂怙恃歡凄涼
2243,革,辛丑運臨西北方 綿綿瑣碎少楨祥 天邊雲月相遮掩 切萱謹守作提防
2244,隨,北方丑運悶沈沈 失卻家長無處尋 破財又兼人耗散 剋去萱堂老母親
2245,大過,三刻生人貴非輕 世習儒葉耀祖宗 父子俱登龍虎榜 職受皇恩福祿增
2246,困,六爻大壯是姻緣 鷥鳳和鳴非偶然 並蒂蓮花池上舞 妻宮水姓永偕聯
2247,咸,運臨辛丑有災逢 上五辛中不遂心 下五丑運多喜氣 菱花照面喜欣欣
2248,萃,十載寒窗苦用功 胸中浩氣吐長虹 年交甘五新遊泮 賦就凌雲唱大風
2251,夬,鴻雁南飛思故鄉 花開棠棣正芬芳 兄弟九人君居二 注定數中代破傷
2252,兌,二千二百遇兌宮 雙親位上犯刑沖 母庚屬龍父牛相 二親合主命歸陰
2253,革,行交癸丑運如何 吉事少來凶事多 事不遂心財不聚 卦爻變否應遭磨
2254,隨,大運乙方不遂心 妻宮剋去歡芳春 悲歡離合皆前定 又待來生結夙因
2255,大過,人生手足有深情 根合枝分各自榮 陰際二人身在次 不是同胞一母生
2256,困,前生已定注今生 閻姓佳人妻室真 並翅鴛鴦偕唱和 同衾共枕白頭榮
2257,咸,癸丑運臨喜及愁 上五年中屢見憂 下五年中顯祥瑞 門前景物變悠悠
2258,萃,文章經世苦無功 廿載寒窗總未成 等至三十零七歲 天衢初步耀門庭
2261,夬,火天大有遇乾宮 手足行中定得清 一樹蟠桃結二果 原來母教出胎形
2262,兌,二千二百數逢空 父母宮中遇難星 嚴父屬牛先剋去 母相屬蛇壽亦終
2263,革,十五十六不為高 作事虛花口舌招 離到巽宮多不利 水封寒雪看風搖
2264,隨,運到丑宮命主嫌 折散鴛鴦亦可憐 元配佳人辭世去 瑤琴斷續已無弦
2265,大過,五數遯卦變吉祥 姐妹五人不同娘 次序排來君五位 必有代破免刑傷
2266,困,妻宮許氏賢貞女 天定鶯侍分燕侶 百年合巹共歡樂 自然倡予能和汝
2267,咸,女命生來衣祿豐 生逢丑時有賢能 助夫興家勤理業 溫柔和順達三從
2268,萃,三刻生人富豪成 主尋別路誠前程 瞻仰官星無進步 惟求異路獲財名
2271,夬,一數同人定弟兄 五枝昆玉最分明 次序排來居第二 連枝同氣一娘生
2272,兌,日元丑位絕纖埃 福祿榮華主自來 財帛宅田皆有陰 滿門頤樂正開懷
2273,革,三九四十不安全 駁雜瑣碎有連篇 幾番心膽俱交瘁 心神恍忽日如年
2274,隨,乙木逢春反主驚 吉星暫隱禍星臨 兒郎天祿因緣盡 未免傷情出泣聲
2275,大過,天雷無妄五數連 命中宅位不周全 堂前侍喚隨人使 尚喜晚景總安然
2276,困,月下老人注鴛儔 若非前定必難求 妻宮配得賈家女 並蒂因緣到白頭
2277,咸,生在丑時數自天 命中衣紫有機緣 夫人一品由封贈 晚景桑榆樂壽年
2278,萃,賢愚貧賤命安排 君是風流浪子才 一生不作農商事 妻亦嬌娜體態乖
2281,夬,二千二百細推尋 手足宮中有十人 注定內中有代破 梅花枝上第二春
2282,兌,提綱行出命中知 定你生成格局奇 二歲新交稱順遂 英豪從此露真機
2283,革,六十三四禍星纏 高低展折事相連 破財耗喪難安穩 思盡謀來總不全
2284,隨,大運交丑悶重重 辰宮值限損子身 聖賢不免西河痛 世事到頭未足論
2285,大過,三刻生人定命真 僕男婢女配成親 前世姑緣由有老 堂前使喚度秋春
2286,困,六爻逢姤定姻緣 必興桑氏結成親 鴻案相莊和好樂 同衾共枕度芳辰
2287,咸,二百八十定命真 宮中財帛異常人 皇恩屢沐承佳渥 侯門嬌貴結成親
2288,萃,心和氣靜好稱強 何事畏人道短長 和順持家夫主重 人前容止羡端莊
2311,大有,先天數定最分明 洩漏天機神鬼驚 父命屬牛母命鼠 高堂自發喜長齡
2312,睽,二數同人數逢空 父命屬牛壽已終 慈母馬庚亦剋去 二親俱主赴幽冪
2313,離,運交乙丑不平勻 上五年中喜氣生 交到下五丑運內 猶如雲霧蔽晴空
2314,噬嗑,卦逢噬嗑四數詳 回寅斗柄見三陽 生辰正月初六日 料峭春寒帶雪霜
2315,鼎,森森棠棣長成林 忽被狂風猛雨侵 兄弟八人命不一 三人先注早歸陰
2316,未濟,姻緣簿上注分明 妻宮配定姓胡人 數中原本早注就 合枕還期百歲榮
2317,旅,數遇天羅不可當 猶如衰草值嚴霜 二十四歲塵緣斷 好比燒了斷頭香
2318,晉,節氣新來值太陽 主人情性出高強 生逢閏正初六日 父母含頤喜弄璋
2321,大有,二千三百細推尋 爻內乾坤數定真 父母生庚皆已定 都是屬牛祆行人
2322,睽,屬牛庚相是嚴君 並注屬羊是母親 宮位都逢羅綱地 雙親同已命歸陰
2323,離,限行丁丑吉兼凶 如意逢丁事事通 遇丑流連多耗散 隨緣養晦策安寧
2324,噬嗑,草木逢春正發榮 人人歡笑喜盈盈 生逢正月初七日 賦就螽斯飲旨醇
2325,鼎,飛翔鴻雁滿長空 兄弟八人遇不同 棠棣開花隨半謝 四人相繼赴冥中
2326,未濟,佳人婁姓是妻房 六數爻成命主昌 月老配就鴛鴦侶 蓮開並蒂正芬芳
2327,旅,南極仙翁注世人 魂飛魄散奪元神 孤舟入海風潮起 三十六歲赴幽冥
2328,晉,二千三百遇坤宮 佳節新春笑樂中 生在閏正初七日 堂前父母盡歡容
2331,大有,火天大有遇同人 嚴父屬牛定命真 屬虎本原慈母相 福如東海壽如松
2332,睽,父母宮中遇厄星 二爻之內犯刑沖 屬猴慈母歸陰府 嚴父屬牛往幽冥
2333,離,運臨己丑定吉凶 上五年間喜氣逢 下五年來煩惱有 猶如花開遇狂風
2334,噬嗑,滿門桃李及春芳 風動寒窗白似霜 生辰正月初八日 臨盆馥郁發奇香
2335,鼎,花開棠棣遇狂風 兄弟八人壽不同 鴻雁離屋飛去遠 仲昆五個入冥中
2336,未濟,赤繩繫足兩相當 鷥鳳和鳴百世昌 已注妻宮萬氏女 白頭偕老不尋常
2337,旅,二千三百數逢空 船到江心順逆風 命限方交四十八 黃梁一夢萬緣空
2338,晉,紛紛春雪更時晴 閏正初八吉日辰 父母此朝添喜氣 新生出世看新春
2341,大有,乾相嚴君命屬牛 坤宮慈母卯年求 遐齡共比蒼松壽 福祿雙雙到白頭
2342,睽,剋父剋母定無疑 父是屬牛母屬雞 數中定就無差錯 冥冥注冊在天機
2343,離,辛丑運臨數已分 吉祥上五喜逢春 再交丑運多不利 退財晦氣在中生
2344,噬嗑,百卉逢春競逐芳 花開春日滿園香 生逢正月初九日 父母同聲慶弄璋
2345,鼎,森森棠棣長成林 忽被狂風四處分 兄弟八人壽不一 內中六位去歸陰
2346,未濟,並蒂蓮花色更鮮 鴛鴦戲水樂無邊 蘭房席氏為君偶 偕老相盟誓百年
2347,旅,花開周甲莫留連 祿馬依君六十年 宮命城池土最忌 黃梁一瞑赴重泉
2348,晉,生身劬力報恩難 料峭春風分外寒 閏正月生初九日 紛紛祥瑞出雲瑞
2351,大有,風天小畜一數評 母命原來是屬龍 父命屬牛無移改 雙親俱主享遐齡
2352,睽,二千三百數不祥 嚴父去世母亦亡 父相屬牛母屬狗 一番思念一番傷
2353,離,大運癸丑佳不佳 半開半謝雨中花 上五年間多順利 交到丑運亂如麻
2354,噬嗑,靈胎瓜熟已成形 萬物逢春俱發榮 堂上雙親添喜氣 正月初十降生君
2355,鼎,紛紛鴻雁撲去飛 上搏空冥羽力微 兄弟八人生後散 撇君獨自守庭懷
2356,未濟,前定姻緣不改移 命中注定正相宜 蘭房路氏佳人佳 一枕鴛鴦睡足時
2357,旅,二千三百數逢窮 限至七十二歲終 天有風雲防不測 論年猶是古稀翁
2358,晉,無邊造化賜原神 佳節重逢歲月新 堂上雙親偕樂事 閏正初十記君生
2361,大有,家人一數定乾坤 玉兔金鳥走不停 雙親庚相俱康吉 父是屬牛母小龍
2362,睽,數中注定兩親愛 父命屬牛世不留 慈母屬豬壽亦短 孝思助原總難酬
2363,離,命注盤中金水奇 聰明才智世間稀 心存仁義行方正 晚年福壽更何難
2364,噬嗑,先天定數丑時榮 已注平生帶貴人 不足小人恩作怨 勸君交友要當心
2365,鼎,坎水輪轉巽宮流 母命屬蛇父屬牛 老來蔗境甘瀰甚 有壽雙雙到白頭
2366,未濟,姻緣簿上寫分明 巨氏蘭房注此生 琴瑟和嗚同靜好 雙飛鴛侶白頭榮
2367,旅,神仙有籙注遐齡 八十四年駕玉軿 辭卻人間恨洞府 四時八節度長春
2368,晉,二千三百姤卦陳 生平必作貿易人 四海興隆財帛茂 修來廣積到頭榮
2371,大有,命逢天喜主禎祥 好事臨身三兩場 舉動謀為無不利 悠悠福祿正綿長
2372,睽,三刻生人犯耗沖 雙親命定早歸空 陰陽莫謂剋憑証 透露五行數已空
2373,離,先天帛化定乾坤 心地慈悲愛救貧 利祿金珠全不重 平心喜與德為粼
2374,噬嗑,先天推算丑時生 四海五湖結友朋 滿座乾杯君樂意 無私心曲自光明
2375,鼎,年上叨承宗祖要 支逢丑字更豐隆 前人種積兒孫享 家道方看晚益享
2376,未濟,姻緣夙定非偶然 妻配範女淑且賢 聲聲琴瑟相嗚和 君子佳人月正圓
2377,旅,結髮佳人主有妨 蘭房無語剩凄涼 瑤瑟重續屬牛相 地久天長共壽康
2378,晉,命逢驛馬道途尋 在外生涯雍客衾 衣祿四方多際遇 報君財帛可稱心
2381,大有,流年劫煞犯命宮 破財又防口舌生 閉門養性真為上 預洩天機作預聞
2382,睽,生逢丑日未全享 早歲崢嶸總是空 休怪天公偏不美 艱辛亦可濟成功
2383,離,二千三百定性情 最喜人來作笑迎 喜語諛詞俱動聽 千金贈客視為輕
2384,噬嗑,丑時命定枉深情 骨肉相乖怨已生 大可小心先律已 待時運至見光明
2385,鼎,不戀田園到外鄉 祖宗遺業未沾光 離家別井平生慣 開出旁枝晚桂香
2386,未濟,二千三百定妻房 配就佳人必姓江 月老注定無移改 瑤琴共奏喜呈祥
2387,旅,元配已剋續又剋 又娶又剋太凄涼 剋去三房弦又續 必配屬牛乃久長
2388,晉,蟒袍玉帶是君衣 富貴榮華轉眼虛 女扮男妝擅歌舞 台前觀笑有誰如
2411,大壯,堂上數推父屬牛 母親屬馬午年求 遐齡共比松筠壽 福祿綿長到白頭
2412,歸妹,丹桂飄來雲外香 屬牛長子主安祥 上無兄來下無弟 獨秀一枝看久長
2413,豐,三刻生人命不強 椿庭早歲已先亡 孤身待奉高堂母 尚幸萊衣樂正長
2414,震,惠風和暢百花香 景色三春草木長 生辰三月初六日 父母堂前慶弄璋
2415,恒,堂上雙親父屬牛 母親屬馬百年秋 巽入天門主享利 悠悠晚歲更無憂
2416,解,運交乙丑事多成 五福臨門財利豐 得雨旱苗隨處藏 逢春枯木自成林
2417,小過,乙丑命屬海中金 享壽七十有三春 壓卻紅塵歸上界 九天恩詔賜加身
2418,豫,花開芍藥倍玲瓏 搖曳枝頭趁早曲 生逢三月初六日 桃花經雨更添紅
2421,大壯,二千四百定命祥 乾坤交泰主吉昌 堂上雙親同有壽 父命屬牛母屬羊
2422,歸妹,男女宮中注得清 二千四百遇恩星 長子屬牛是庚相 堂前丹桂兩枝榮
2423,豐,秋來鴻雁兩爭嗚 上下翱翔正有情 兄弟二人先逝父 因生三刻立命宮
2424,震,楊花浮盪杏花鮮 雨露平勻宅上煙 生辰三月初七日 父母歡樂有房前
2425,恒,巽宮變否乾坤詳 春回禹甸萬物光 九五爻度太陽照 父命丑年母屬羊
2426,解,大運丁丑主豐盈 出入和順貴人逢 十年風順無遮阻 凡百名成利亦成
2427,小過,生逢丁丑出藍田 澗下水命得安然 六十九歲衣祿盡 黃梁一夢到重泉
2428,豫,三春天氣日初長 景物陽和草木香 生逢閏三初七日 悠悠歡樂在高堂
2431,大壯,先天數定父庚牛 慈母原來命屬猴 堂上雙親正安樂 青山綠水還悠悠
2432,歸妹,二千四百數分明 妻子財祿主畢生 長子若是屬牛相 堂前三子各崢嶸
2433,豐,三刻時辰定命中 有三兄弟不相同 父親業已先泉下 淚洒衣襟染血紅
2434,震,荷風吹送滿塘香 桃李盈盈拂院牆 生辰三月初八日 恰如大塊出文章
2435,恒,乾坤爻現五數奇 嚴父屬牛定不疑 慈母屬猴持家慶 蒼蒼翠柏世稱稀
2436,解,運交己丑卜興隆 凡事謀為湊意中 家宅平安添喜氣 庭前丹桂正新榮
2437,小過,己丑屬牛壽算延 只差呂望整三年 推來世祿七十七 拋卻塵緣到九泉
2438,豫,吉日生君佳作期 重逢三數定根基 閏三初八降生日 風景宜人福自奇
2441,大壯,二千四百遇巽宮 雙親庚相定得清 母命屬雞父牛相 壽比南山不老松
2442,歸妹,丹桂枝頭黃又屬 牛長子亦賢郎數 中注定數四子繼 繼紹祖宗姓字芳
2443,豐,時辰三刻定飛翔 手足宮中有兩雙 無奈太陽雲掩去 雙親堂上父先喪
2444,震,楊柳隨風過小川 九天雨露降人前 生逢三月初九日 明月高樓照未眠
2445,恒,二千四百遇巽宮 兩親庚相自分明 母命屬雞父牛相 南山晃老有青松
2446,解,運交辛丑事全享 枯木逢春亦發榮 平步十年多坦道 臨門喜氣接長虹
2447,小過,二千上百遇坎宮 辛丑壁上土命生 大運新交七十八 一夢南柯壽已終
2448,豫,池水依依長碧蓮 重逢歲月尚春風 生辰閏三初九日 丹桂新生玉出田
2451,大壯,數定高堂父母宮 雙親順吉注分明 屬牛嚴父勤家計 慈母戌相亦相同
2452,歸妹,男女宮中仔細研 屬牛長子定當然 蟠桃枝上數有五 桂子蘭孫福澤綿
2453,豐,三刻生人兄弟多 手足五人意不和 堂上父樣先去世 相親相愛免風波
2454,震,桃李成蹊到處芳 迎門鵲報鬧春光 生辰三月初十日 預卜將來景運昌
2455,恒,二千四百定分明 堂上雙親宮位清 父相屬牛母戌相 綿綿都是白頭人
2456,解,運入北方癸丑鄉 家門迪吉顯輝光 求名問利無波折 得意最宜西北方
2457,小過,癸丑桑柘木命真 壽享七十又九齡 厭卻塵寰歸上界 九天仙子接雲旌
2458,豫,桃李開花映日紅 蟠桃枝上笑東風 生逢閏三初十日 父母堂前喜自融
2461,大壯,父母宮中一數求 嚴君必定庚屬牛 母親屬豬前生定 有壽雙雙到白頭
2462,歸妹,蘭葉逢春雨露勻 蟠桃結子色踰新 長子屬牛原命定 庭前大子正紛紛
2463,豐,空中鴻雁望瀟湘 三刻生人氣象昌 兄弟六人先去父 其中主有石皮傷
2464,震,丑時生日主榮昌 兄弟主中折桂郎 自喜風雲生足下 明珠合浦照輝光
2465,恒,父母爻中巽數求 嚴君必定是屬牛 慈母屬豬前生定 雙雙有壽到白頭
2466,解,生逢丑時命最清 入宮治學得門生 廣文世業多桃李 松柏長青志自榮
2467,小過,二千四百數逢空 祿馬俱倒壽緣終 不必功名還戀機 先天注數命宮中
2468,豫,三刻生人命最清 醫書飽讀擅奇能 溫涼寒熱治奇症 婦孺還近書逢迎
2471,大壯,之天大有一數詳 側室外郡二子香 莫訝老蚌生珠晚 自是長庚入夢方
2472,歸妹,子息宮中遇恩星 丹桂庭前七子成 若問長郎屬何相 先天數定丑年生
2473,豐,生辰三刻注時辰 同氣連枝七弟兄 堂上雙親先去父 石皮傷亦在其中
2474,震,前生緣念結今生 莫怨天來莫怨人 元配剋去弦又續 屬牛此婦必殘婚
2475,恒,月令逢丑衣祿豐 祖宗積德有餘享 恩星田宅宮中照 自在逍遙樂現成
2476,解,數定丑時是宿儒 揮毫落紙變成珠 身遊泮水看頭白 黃畢隨時作拂發
2477,小過,二千四百遇奶宮 主人一生奉神明 常懷惻隱行方便 雖然遇險不成凶
2478,豫,生平習熟有仙方 鍊就金丹妙藥藏 去腐生肌真奏效 真傳秘法姓名揚
2481,大壯,卦到乾宮變老陽 花開桃李滿庭芳 早年未作壽天客 命中應有兩重娘
2482,歸妹,茂盛棠枝雨露均 庭前丹桂長成林 長子屬牛招七弟 石皮傷主在其中
2483,豐,南飛鴻雁作翱翔 兄弟八人有損傷 三刻時辰先去父 逢春桃李各芬芳
2484,震,鴛鴦配合在前生 妻相屬牛剋子星 可惜蘭房難發出 老來義子送君終
2485,恒,三刻時辰定命宮 田園雖有總無功 六親不得為君力 家業尤須別處榮
2486,解,時生三刻是神工 手報剪刀快似風 錦衣裁成提領袖 天孫手段興君同
2487,小過,刑沖入命總難關 舉步艱辛腰又彎 對面不能看紅日 側身始可眺青山
2488,豫,醫道如君甚出奇 眼科行內作人師 梅開雲霧看紅日 藝術教人路不迷
2511,小畜,五行配合定命宮 提綱順遂驗吉凶 嫩芽未被春泉潤 二歲交來不甚通
2512,中孚,春風吹暖遍天涯 嫩柳抽條早發芽 生君父歲方十四 昆岡出玉自無瑕
2513,家人,前生恨別話姻緣 今又剋妻不偶然 張氏佳人為續配 同牢預卜可長年
2514,益,綿蠻黃鳥去猶還 紅杏枝頭結玉盤 生辰五月初六日 明珠一顆降人環
2515,巽,鴛鴦遊水兩相親 配合妻宮必姓榮 交頸同衾情意合 正如魚水恰歡情
2516,渙,大運乙丑不遂心 惹災破耗暗中侵 月明忽被雲遮掩 花正開時竟不晴
2517,漸,甲日時逢乙丑宮 榮華富貴境享通 禹門耀過三層浪 忽聽凌空雷一聲
2518,觀,五月已過又五月 初六降世辭天闕 仙桃結果高堂上 放在盤中帶枝葉
2521,小畜,生時二刻有緣人 桃李花開正值春 風擺柳梢青翠葉 屬牛佳偶洞房身
2522,中孚,命宮注定著先鞭 丹桂堂肖景色鮮 父歲方交二十六 君身降世到人間
2523,家人,綠水紅蓮背日陰 鴛鴦葉底載浮沈 佳人元配難偕老 再娶新弦必姓金
2524,益,仲夏初交花盡開 薰風時節暢心懷 問君何日降人世 五月初七離母胎
2525,巽,瑤琴共奏有知音 花草含情結兩心 配定鴛盟葉氏女 芙蓉帳裡度春深
2526,渙,丁丑否運不可當 破財疾病總須防 出門行路常多險 看是平地卻是坑
2527,漸,乙日丁丑時最清 才高班馬占魁名 玉堂金馬重重喜 宴罷瓊林拜帝庭
2528,觀,問君何日離天闕 五月過後又五月 初七正是生辰日 父母雙雙多喜悅
2531,小畜,三刻生人問結親 妻宮必配屬牛人 鴛鴦比翼飛來去 紅袖添香有落茵
2532,中孚,數中注定無改移 花開枝上倍含姿 父年方交三十八 命主生君福祿齊
2533,家人,妻妾宮中犯剋刑 鴛儔失偶再尋盟 洞房結髮妻遭剋 又續佳人是姓程
2534,益,炎暑初交五月天 黃鶯弄舌綠揚邊 生辰五月初八日 堂上雙親倍愛憐
2535,巽,一線赤繩繫足長 皮家有女正催妝 姻緣注就為夫婦 白首同偕夢枕休
2536,渙,己丑運臨事有磨 勸君珍重慎風波 天涯孤掉多煙霧 休更回頭喚奈何
2537,漸,丙日己丑時已真 宮中福祿本生成 光宗耀祖門閭顯 捷報春風逢九重
2538,觀,問君生日是何時 大暑交來應最宜 五月過後又五月 初九降生福相齊
2541,小畜,四刻生定姻緣事 妻宮屬牛須遂志 百年和好注前生 流水落花應共賦
2542,中孚,世上何如為善樂 人生有子萬事足 父年正交五十歲 傳家生君稱心欲
2543,家人,捧打鴛鴦兩處傷 命中注定剋妻房 洞房又設新花燭 續配佳人必姓江
2544,益,風動波紋水面清 和嗚黃鳥有深情 生辰五月初九日 喜氣盈門車輛迎
2545,巽,鴛鴦逐隧共飛嗚 千里姻緣繫赤繩 配定妻房海氏女 雙雙偕老百年榮
2546,渙,大運辛丑事百端 安心守拙免凋殘 世上利名何必計 且從緩處覓平安
2547,漸,丁日辛丑時最良 行來步步到康庄 千鐘食祿身榮貴 名標黃榜作高揚
2548,觀,端陽佳節又佳期 天賜麟兒顯異姿 閏五初九是生日 天機定命洩君知
2551,小畜,五刻時辰憑造化 笑樂洞房華燭下 佳人本是屬牛庚 數定先天真不假
2552,中孚,花開嬌艷正春濃 一樹蟠桃結子紅 十四母親胎氣足 降君堵具若飛龍
2553,家人,二千五百數難當 剋去前妻又續房 再娶佳人閻氏女 百年地久共天長
2554,益,時逢仲夏對薰風 一笑山川照眼紅 生辰五月初十日 黃雞催曉唱玲瓏
2555,巽,造化生人不偶然 佳人姓宓亦良緣 名花解語消開寂 對此芳春莫計年
2556,渙,癸丑運程本不宜 多災多險總無疑 治生且作平安想 高處登臨有更危
2557,漸,戊日癸丑時最榮 必然奎斗耀天庭 科分甲乙稱全美 更比瓊枝鹿宴清
2558,觀,時在六月數五月 炎風一掃殘枝葉 問君何日是生辰 初十方自辭天闕
2561,小畜,比目魚遊春水前 花間蝴蝶影翩翩 時辰六刻命中定 妻室屬牛福祿全
2562,中孚,春送鮮花滿院香 一枝丹桂照華堂 母年甘六生君日 抱育辛劬恩莫忘
2563,家人,剋去蘭房且莫傷 姻緣定數注分張 瑤琴欲奏新弦續 再娶佳人是姓湯
2564,益,命宮子息有前緣 丹桂飄香景色鮮 數定有三存裔澤 老來三子送歸天
2565,巽,紅桃玉耦獻堂前 前定麟兒非偶然 賢閫年方十四歲 早年一子立堂前
2566,渙,時分三刻定終身 命宮合主入公門 貴人相照小人忌 晚景康寧有福生
2567,漸,三刻生人時最良 相偕父子入明堂 三冬有志魁多士 鐵硯磨穿姓氏香
2568,觀,心存公正不言虛 原是人間大丈夫 重義輕財名譽美 端庄正直有規模
2571,小畜,綠水荷渠任自遊 鴛鴦配合妻屬牛 生逢七刻姻緣定 共枕同衾樂百秋
2572,中孚,二千五百數頭達 立命安身方細察 丹桂一枝出庭前 母年正交三十八
2573,家人,折散同林路已迷 凄涼閨時夫前妻 瑤琴留待竇家女 偕老相莊福祿齊
2574,益,數定宮中子息宮 生育兒郎難養成 身世老來誰照料 除非外繼送泉靈
2575,巽,一樹蟠桃結子紅 交枝丹桂倍玲瓏 妻宮二十六歲上 喜生賢子慶添丁
2576,渙,三刻命中主還祿 命中金甲犯天神 拜辭父母離鄉井 男兒一戰立功動
2577,漸,時辰三刻定英奇 刺股攻書尚待時 父折桂枝魁士子 喜君遊泮採芹池
2578,觀,風天小畜定性情 為心淳厚心地平 常懷惻隱慈祥意 家葉源源有福榮
2581,小畜,一枕鴛鴦是夙緣 中宵錦帳擁郎眠 蘭房注定屬牛相 八刻時辰數在天
2582,中孚,丑月生人衣祿虧 奔波挫折早年時 成家白手從頭起 否去泰來有後期
2583,家人,前配妻宮定要防 羅帷夜月剩凄涼 瑤琴欲奏須弦續 重得佳人呂姓娘
2584,益,命中子息耗星纏 膝下虛無亦可憐 老景欲招他氏子 姪男甥女哭靈前
2585,巽,妻命行年三十八 此朝瓜結非虛話 從來合浦產明珠 生子定能期晚達
2586,渙,三刻生人有藝才 方圓規矩待君裁 彫樑畫棟勞斤斧 師學工輸濟世來
2587,漸,三刻數中文學奇 磨穿鐵硯費心思 泮池重使賢郎去 樂到天倫事可知
2588,觀,淳厚平生少曲灣 人前座上不空談 浩然養得胸中氣 東海南山福壽看
2611,需,天火同人自不移 椿萱難得共眉齊 母親屬鼠黃泉去 嚴父屬牛受孤凄
2612,節,數中定命本由天 修得鴛鴦共枕眠 妻宮屬牛生一子 唱隨偕樂保安全
2613,既濟,赤繩查結到蘭房 月老姻緣千里忙 二刻生辰同命鳥 屬牛夫主畫眉長
2614,屯,曉月金風照半城 蟬聲方歇草蟲嗚 生逢七月方初六 正注平生福祿榮
2615,井,二千六百數原嗔 手足宮中有二人 雁影排行分次序 分枝第一得仙根
2616,坎,運行乙丑問吉凶 上五年內不安寧 若交下丑運宮內 機開去霧見光明
2617,蹇,己日乙丑時顯榮 福祿綿綿晚更成 壯歲早登龍虎榜 垂紳正笏拜皇延
2618,比,孟秋又過遍金風 人倚高樓聽鳥嗚 生辰閏七初六日 庭前丹桂正新榮
2621,需,父母宮中犯剋星 生成丑相注同庚 萱堂應早歸泉下 椿父福壽享遐齡
